x_observed_cm-1,structural_frequency_cm-1,real_measured,imag_measured,real_fit,imag_fit,real_residual,imag_residual
2705.33,3287.3571428571427,-0.253411,-0.378313,-0.01618716599932933,-0.01094921018294806,-0.23722383400067065,-0.367363789817052
2706.12,3288.65934065934,-0.243684,-0.517008,-0.014845645021711616,-0.011132423581708295,-0.2288383549782884,-0.5058755764182917
2706.92,3289.978021978022,-0.235473,-0.718864,-0.013483363271820141,-0.011315630495505408,-0.22198963672817984,-0.7075483695044945
2707.71,3291.28021978022,-0.21898,-1.04876,-0.012133966990606815,-0.011494760997179845,-0.2068460330093932,-1.03726523900282
2708.51,3292.5989010989015,-0.129909,-1.68184,-0.010762897163764898,-0.01167485698350744,-0.1191461028362351,-1.6701651430164925
2709.31,3293.9175824175823,0.598748,-3.19199,-0.009386825806216623,-0.011854145947961664,0.6081348258062166,-3.1801358540520384
2710.1,3295.2197802197798,6.33944,-2.27756,-0.008022692090977966,-0.012030893475444657,6.347462692090978,-2.2655291065245553
2710.9,3296.5384615384614,2.84751,2.22707,-0.006635618374606314,-0.012210074452470854,2.8541456183746066,2.239280074452471
2711.7,3297.8571428571427,1.33347,1.6334,-0.005242507740682849,-0.012389963147268479,1.3387125077406827,1.6457899631472683
2712.49,3299.15934065934,0.850581,1.20614,-0.0038605788525858248,-0.01256880967842526,0.8544415788525859,1.2187088096784253
2713.29,3300.478021978022,0.606416,0.930459,-0.0024545483015202957,-0.01275167595014047,0.6088705483015202,0.9432106759501405
2714.08,3301.7802197802193,0.421223,0.726504,-0.0010592867633899689,-0.012934535375216494,0.42228228676338997,0.7394385353752165
2714.88,3303.098901098901,0.21175,0.547602,0.0003608014673263035,-0.013122596333252967,0.21138919853267368,0.560724596333253
2715.68,3304.4175824175823,-0.130046,0.344514,0.0017883627765381133,-0.013314174763684142,-0.1318343627765381,0.3578281747636841
2716.48,3305.7362637362635,-0.984347,-0.0349852,0.003223650419419695,-0.013509920694109903,-0.9875706504194197,-0.021475279305890098
2717.27,3307.0384615384614,-9.15248,-3.9582,0.004648816878571133,-0.013707984181198465,-9.157128816878572,-3.9444920158188017
2718.07,3308.357142857143,3.818,1.55158,0.006100174257793106,-0.013914108383211013,3.811899825742207,1.565494108383211
2718.87,3309.675824175824,2.11213,1.03693,0.007559959083187823,-0.01412660667467261,2.1045700409168124,1.0510566066746725
2719.67,3310.9945054945056,1.58652,0.905092,0.009028390555709885,-0.014346326928993902,1.5774916094442901,0.9194383269289939
2720.46,3312.296703296703,1.26783,0.865146,0.01048716020681538,-0.01457128111903315,1.2573428397931847,0.8797172811190331
2721.26,3313.6153846153848,0.986165,0.847589,0.011973405268578118,-0.014808142337324595,0.9741915947314218,0.8623971423373247
