wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3378.11,-0.045893911764705884,-0.03835584497780567,-0.035401275320834515,-0.007538066786900215,0.00023250573048906958,-0.0,-0.0,-0.0,0.0,0.0013395207141885315,0.029956325562048813,-0.03653343682907575
3378.99,-0.04570821176470588,-0.03895146761794341,-0.0353652796936107,-0.006756744146762472,0.0002310407231986476,-0.0,-0.0,-0.0,0.0,0.0013203548418662691,0.029594808841170876,-0.03678089015195091
3379.87,-0.04550614705882353,-0.03925092595365234,-0.03532928406638687,-0.0062552211051711964,0.0002300710988654276,-0.0,-0.0,-0.0,0.0,0.0013098300610211045,0.02939725042394995,-0.03690527394848859
3380.74,-0.045340111764705884,-0.03951110547027662,-0.035293697480381504,-0.005829006294429263,0.00022913861292714235,-0.0,-0.0,-0.0,0.0,0.0012998804966852444,0.029207258857384538,-0.03699817201464651
3381.62,-0.045244564705882354,-0.040008947490112926,-0.03525770185315767,-0.005235617215769428,0.00022767360563671888,-0.0,-0.0,-0.0,0.0,0.0012769191325056727,0.028849656054379866,-0.03714796314323621
3382.5,-0.045228576470588235,-0.04042803153760366,-0.03522170622593384,-0.004800544932984575,0.00022636502708601905,-0.0,-0.0,-0.0,0.0,0.001259185320527897,0.028573467722466547,-0.0373057947515132
3383.38,-0.045272994117647056,-0.04060059732255107,-0.03518571059871001,-0.004672396795095984,0.00022563252344080757,-0.0,-0.0,-0.0,0.0,0.00124960238436676,0.028424222024108336,-0.03735277768152411
3384.25,-0.04533500588235294,-0.041005769569800725,-0.035150124012704634,-0.0043292363125522135,0.0002243064880747902,-0.0,-0.0,-0.0,0.0,0.0012322546041297262,0.028154045792846274,-0.037502692048281834
3385.13,-0.04535922352941176,-0.04129377412757957,-0.0351141283854808,-0.004065449401832191,0.00022316458355622164,-0.0,-0.0,-0.0,0.0,0.0012173157049514183,0.0279213857392803,-0.0375759340320259
3386.01,-0.04529191764705882,-0.04147923206326342,-0.03507813275825697,-0.003812685583795397,0.00022238772999316612,-0.0,-0.0,-0.0,0.0,0.0012067657601065945,0.0277631038613699,-0.037625761574619526
