wavenumber_cm-1,real_raw,imag_raw,real_smooth,imag_smooth,real_water_model,imag_water_model,real_residual,imag_residual
2716.48,-0.984347,-0.0349852,0.7765285294117648,0.4729526352941177,-0.03114745659155958,0.00432600729364414,0.8076759860033244,0.46862662800047356
2717.27,-9.15248,-3.9582,0.4112165882352941,0.6361701647058824,-0.031160754394476776,0.004314399526873242,0.4423773426297709,0.6318557651790091
2718.07,3.818,1.55158,0.23896444705882355,0.5205984588235294,-0.031174248413662464,0.004302625115935695,0.27013869547248603,0.5162958337075937
2718.87,2.11213,1.03693,0.14576468235294113,0.42568758235294113,-0.031187770584157573,0.004290830767827239,0.17695245293709871,0.4213967515851139
2719.67,1.58652,0.905092,0.07059285882352939,0.34248434705882347,-0.031201320992873937,0.00427901637865327,0.10179417981640333,0.3382053306801702
2720.46,1.26783,0.865146,-0.005267200000000027,0.2641726411764706,-0.031214729817666976,0.004267329900294628,0.02594752981766695,0.259905311276176
2721.26,0.986165,0.847589,-0.09656149411764708,0.19468422941176472,-0.03122833660905477,0.004255475368386368,-0.06533315750859231,0.19042875404337836
2722.06,0.692426,0.801759,-0.20965384705882356,0.1653934176470588,-0.031241971900096203,0.004243600480982272,-0.17841187515872736,0.16114981716607654
2722.85,0.394397,0.687155,-0.28296231764705876,0.20784553529411762,-0.031255464803612694,0.004231853950058931,-0.25170685284344607,0.2036136813440587
2723.65,0.129137,0.497138,-0.25551278823529405,0.2777628999999999,-0.03126915699958704,0.004219938288889249,-0.224243631235707,0.2735429617111107
2724.45,-0.0807764,0.262351,0.27593744705882356,0.5607387823529412,-0.03128287795933237,0.004208001951622493,0.30722032501815594,0.5565307804013186
2725.25,-0.250926,0.0199151,0.05298294705882352,0.5045216647058823,-0.03129662777185877,0.004196044829541085,0.0842795748306823,0.5003256198763413
2726.05,-0.42734,-0.208315,-0.06664572941176469,0.46769813529411763,-0.031310406526479456,0.004184066813214517,-0.035335322885285236,0.4635140684809031
2726.84,-0.683205,-0.40084,-0.1546751882352941,0.4306447823529412,-0.03132404153593486,0.004172217910341904,-0.12335114669935925,0.4264725644425993
2727.64,-1.13078,-0.454799,-0.22442104705882354,0.3898418411764706,-0.031337878079322846,0.00416019803898213,-0.1930831689795007,0.38568164313748843
2728.44,-1.71082,0.0496582,-0.2787852411764706,0.34526029999999996,-0.03135174383343996,0.0041481569421520205,-0.2474334973430306,0.3411121430578479
2729.24,-1.37629,1.0662,-0.3176452235294117,0.2995508411764706,-0.03136563888881393,0.0041360945075227555,-0.2862795846405978,0.2954147466689478
2730.04,-0.517705,1.15361,-0.3412886205882353,0.25770130588235296,-0.03137956333627849,0.004124010622024487,-0.3099090572519568,0.25357729526032846
2730.84,-0.117826,0.85239,-0.3519965852941176,0.22530015294117647,-0.031393517266973724,0.004111905171840605,-0.3206030680271439,0.22118824776933588
2731.64,0.0277735,0.595889,-0.35265004411764705,0.2063382058823529,-0.03140750077234669,0.0040997780424019,-0.32124254334530034,0.202238427839951
2732.43,0.0784425,0.41093,-0.34405739705882354,0.20181176470588233,-0.031421338596030676,0.004087781114918257,-0.31263605846279285,0.19772398359096408
2733.23,0.0900192,0.275185,-0.32452430294117646,0.20952823529411763,-0.03143538115377981,0.00407561055482546,-0.29308892178739665,0.20545262473929216
2734.03,0.0821504,0.171496,-0.28967693823529417,0.2253980588235294,-0.03144945356123772,0.004063417968661088,-0.25822748467405643,0.22133464085486831
2734.83,0.0619737,0.0897028,-0.2292814676470588,0.23986211764705884,-0.03146355591108012,0.004051203238795964,-0.19781791173597868,0.23581091440826288
2735.63,0.0318063,0.0246982,-0.13630935,0.21885422352941175,-0.03147768829629198,0.004038966246818457,-0.10483166170370802,0.2148152572825933
2736.43,-0.00754075,-0.0242871,-0.06454423235294117,0.13058387058823528,-0.031491850810167914,0.004026706873528387,-0.033052381542773256,0.1265571637147069
2737.23,-0.0528984,-0.0536816,-0.04322835,0.027375576470588234,-0.03150604354631268,0.004014424998930775,-0.011722306453687319,0.02336115147165746
2738.03,-0.0918852,-0.0600021,-0.04081345,-0.06976089411764708,-0.031520266598641496,0.0040021205022296395,-0.009293183401358505,-0.07376301461987672
2738.83,-0.104851,-0.0570344,-0.03499730294117647,-0.16091001176470587,-0.03153452006138047,0.003989793261821676,-0.0034627828797960045,-0.16489980502652754
2739.63,-0.0952774,-0.077135,-0.01659821470588235,-0.24100271764705883,-0.03154880402906694,0.003977443155289868,0.014950589323184594,-0.2449801608023487
2740.43,-0.0907998,-0.131053,0.011701067647058826,-0.3046761294117647,-0.03156311859654989,0.003965070059397122,0.04326418624360871,-0.3086411994711618
2741.23,-0.104057,-0.20891,0.04402622058823529,-0.35230730588235293,-0.03157746385899022,0.003952673850079738,0.07560368444722551,-0.3562599797324327
2742.03,-0.130294,-0.307476,0.07693965,-0.38688876470588235,-0.03159183991186109,0.003940254402440927,0.1085314899118611,-0.3908290191083233
