wavenumber_cm-1,experiment_smooth,fit_I+VI+VII,baseline_I+VI+VII,residual_I+VI+VII,component_I_I+VI+VII,component_VI_I+VI+VII,component_VII_I+VI+VII,fit_I+VI+VIII,baseline_I+VI+VIII,residual_I+VI+VIII,component_I_I+VI+VIII,component_VI_I+VI+VIII,component_VIII_I+VI+VIII,fit_I+VI+VII+VIII,baseline_I+VI+VII+VIII,residual_I+VI+VII+VIII,component_I_I+VI+VII+VIII,component_VI_I+VI+VII+VIII,component_VII_I+VI+VII+VIII,component_VIII_I+VI+VII+VIII
3317.8,0.2116876470588235,0.22803981303307536,0.437650490586008,-0.016352165974251848,-0.0,-0.20961067755293264,-0.0,0.2068083812238413,0.1509050838408931,0.004879265834982216,-0.0014927004020144636,-0.04290440230084089,0.10030040008580356,0.20835968649867245,0.15741579548306148,0.0033279605601510553,-0.0013140093249121832,-0.04236979543994918,-0.007965860660486325,0.10259355644095866
3318.7,0.2070117647058823,0.22792108910615475,0.4367453220501376,-0.020909324400272433,-0.0,-0.20882423294398286,-0.0,0.20678781511686675,0.15062185420467508,0.00022394958901555961,-0.0015042829860532265,-0.042827056713513466,0.10049730061175835,0.208078225232765,0.15711950759717946,-0.0010664605268826954,-0.0013235115429337972,-0.04229100884955085,-0.008020318412888468,0.10259355644095866
3319.6,0.2040288235294117,0.22751931677783513,0.43584015351426675,-0.023490493248423422,-0.0,-0.20832083673643162,-0.0,0.20663392562039348,0.15033862456845695,-0.0026051020909817757,-0.0015221926449901526,-0.042679806914831676,0.10049730061175835,0.20811510302691544,0.15682321971129728,-0.004086279497503731,-0.001333013760955418,-0.04209212007208163,-0.00811916305112891,0.10283618019978413
3320.4,0.205325294117647,0.2271660341098305,0.4350355592601592,-0.0218407399921835,-0.0,-0.2078695251503287,-0.0,0.2064598483358598,0.15008686489181858,-0.0011345542182128188,-0.0015319930068141592,-0.042592324160902965,0.10049730061175835,0.20793165751433318,0.1565598527016242,-0.0026063633966861843,-0.001347873552843444,-0.041947172986996774,-0.008212481011643308,0.10287933236419251
3321.3,0.2056435294117647,0.2270473101829098,0.43413039072428833,-0.021403780771145103,-0.0,-0.20708308054137853,-0.0,0.2063915713447516,0.14980363525560042,-0.0007480419329869148,-0.0015430184138661644,-0.04246575865436707,0.10059671315738443,0.207661168712527,0.15626356481574202,-0.0020176393007622917,-0.0013573757708650646,-0.04183285313212638,-0.008291499564416115,0.10287933236419251
3322.2,0.2072135294117647,0.2265711596881654,0.4332252221884179,-0.019357630276400695,-0.0,-0.2066540625002525,-0.0,0.20648295395759167,0.14952040561938243,0.0007305754541730436,-0.001560270436526545,-0.042254418607528856,0.10077723738226464,0.20741687265709965,0.15596727692986,-0.00020334324533494152,-0.0013668779888866786,-0.04175332600825521,-0.008346469177888853,0.10291626890227039
3323.1,0.2068541176470588,0.22627906363914996,0.43232005365254705,-0.019424945992091158,-0.0,-0.2060409900133971,-0.0,0.206318913211423,0.14923717598316427,0.0005352044356357888,-0.0015725106568418561,-0.04212298949716405,0.10077723738226464,0.20746149485179594,0.15567098904397783,-0.0006073772047371362,-0.0013802979778921574,-0.04154671716933152,-0.008447587332384552,0.10316510828742637
3323.9,0.2062882352941176,0.22613494882989144,0.43151545939843955,-0.01984671353577383,-0.0,-0.20538051056854809,-0.0,0.20612279752793028,0.1489854163065259,0.0001654377661873263,-0.0015823110186658615,-0.04205754514219438,0.10077723738226464,0.2072545921519547,0.15540762203430475,-0.0009663568578370807,-0.0013882645932291901,-0.04142406631289162,-0.008505807263655601,0.10316510828742637
3324.8,0.2041523529411764,0.22562300259849555,0.43061029086256863,-0.021470649657319152,-0.0,-0.20498728826407311,-0.0,0.2062483673900659,0.14870218667030777,-0.002096014448889516,-0.0015942070728958584,-0.0419167863601169,0.1010571741527709,0.20697844361404819,0.15511133414842257,-0.0028260906728717894,-0.001396955118367416,-0.04133070355530272,-0.008570340148130635,0.10316510828742637
3325.7,0.2039123529411765,0.22540528471590507,0.4297051223266983,-0.02149293177472858,-0.0,-0.20429983761079318,-0.0,0.20615502786695863,0.14841895703408975,-0.0022426749257821454,-0.001609575948962397,-0.041711527370939624,0.1010571741527709,0.20694843017228245,0.15481504626254056,-0.003036077231105966,-0.0014102444348395614,-0.04118441116774229,-0.008691730844694382,0.10341977035701815
3326.6,0.1997288235294118,0.22512990882562234,0.42879995379082736,-0.025401085296210546,-0.0,-0.20367004496520505,-0.0,0.20594300244700467,0.14813572739787162,-0.0062141789175928774,-0.0016159844144888248,-0.041633914689149024,0.1010571741527709,0.20676329513521552,0.15451875837665838,-0.007034471605803727,-0.0014197466528611802,-0.04103811878018185,-0.00874848201906009,0.10345088421066026
3327.4,0.1966258823529411,0.22467484550882605,0.42799535953671985,-0.028048963155884954,-0.0,-0.2033205140278938,-0.0,0.20591669174636065,0.14788396772123324,-0.009290809393419558,-0.0016326290305175648,-0.041503025979209636,0.10116837903485461,0.2065530409071272,0.1542553913669853,-0.009927158554186105,-0.0014281930688803996,-0.04090808110235031,-0.008816960499287619,0.10345088421066026
3328.3,0.1983788235294117,0.22432509145211818,0.427090191000849,-0.02594626792270649,-0.0,-0.20276509954873081,-0.0,0.20593841839019486,0.1476007380850151,-0.00755959486078317,-0.0016436544375695707,-0.041355776180527874,0.10133711092327723,0.2065840489722536,0.15395910348110312,-0.008205225442841912,-0.0014376952869020211,-0.04076178871478981,-0.008912230641051773,0.10373666013389411
3329.2,0.1971658823529411,0.22365095304603455,0.4261850224649786,-0.026485070693093443,-0.0,-0.20253406941894403,-0.0,0.20579141314560656,0.1473175084487971,-0.008625530792665453,-0.0016546798446215704,-0.041208526381846196,0.10133711092327723,0.20637399217866254,0.15366281559522108,-0.009208109825721428,-0.0014471975049236347,-0.04061549632722944,-0.008962789718299577,0.10373666013389411
3330.0,0.1989111764705882,0.22324565210641809,0.425380428210871,-0.024334475635829883,-0.0,-0.20213477610445296,-0.0,0.20585039897910157,0.14706574877215872,-0.006939222508513365,-0.0016644802064455795,-0.04107763767190681,0.10152676808529525,0.20615417467957203,0.15339944858554802,-0.007242998208983831,-0.0014556439209428545,-0.040485458649397885,-0.009040831469529352,0.10373666013389411
3330.9,0.1942676470588235,0.22312692817949706,0.42447525967500016,-0.02885928112067357,-0.0,-0.2013483314955031,-0.0,0.20579367334300144,0.14678251913594056,-0.011526026284177954,-0.0016755056134975844,-0.04093038787322505,0.10161704769378349,0.20619474601570068,0.15310316069966584,-0.011927098956877186,-0.0014651461389644754,-0.04033916626183741,-0.009126538340291259,0.10402243605712799
3331.8,0.1931623529411764,0.22292818635007106,0.4235700911391293,-0.02976583340889466,-0.0,-0.20064190478905825,-0.0,0.20564666809841306,0.14649928949972243,-0.012484315157236664,-0.0016865310205495905,-0.04078313807454329,0.10161704769378349,0.2059846892221095,0.15280687281378366,-0.0128223362809331,-0.0014746483569860937,-0.04019287387427696,-0.009177097417539089,0.10402243605712799
3332.7,0.1916688235294117,0.22202301781420067,0.4226649226032589,-0.03035419428478897,-0.0,-0.20064190478905825,-0.0,0.20577959962433107,0.14621605986350444,-0.01411077609491937,-0.001697556427601593,-0.04063588827586158,0.1018969844642898,0.20601212705626867,0.15251058492790162,-0.014343303526856976,-0.001484150575007711,-0.04004658148671654,-0.009275937790270593,0.10430821198036187
3333.5,0.1941082352941176,0.22172235056633402,0.4218603283491514,-0.02761411527221641,-0.0,-0.20013797778281733,-0.0,0.205648928295808,0.14596430018686604,-0.011540693001690389,-0.0017073567894255977,-0.04050499956592223,0.1018969844642898,0.2058762342184256,0.15224721791822857,-0.011767998924307993,-0.00149025009629494,-0.03995267567124752,-0.009340846039530754,0.10441278810727028
