wavenumber_cm-1,real_smooth,imag_smooth,real_fit,imag_fit,real_residual,imag_residual
3393.92,-0.029489847058823522,-0.04211068235294119,-0.02998016120623626,-0.043502344696643595,0.0004903141474127369,0.0013916623437024087
3394.79,-0.029108199999999997,-0.04219475882352942,-0.0297602843906729,-0.04330708388823226,0.0006520843906729044,0.0011123250647028446
3395.67,-0.028865941176470587,-0.04234441176470589,-0.029554925721333978,-0.04311404256106998,0.0006889845448633906,0.000769630796364093
3396.55,-0.028760682352941176,-0.04249081764705883,-0.029367824977111726,-0.042928843978717955,0.0006071426241705501,0.00043802633165912486
3397.43,-0.028755688235294116,-0.04257344117647059,-0.029199734320211168,-0.04275570284128314,0.0004440460849170526,0.0001822616648125483
3398.31,-0.028789435294117646,-0.042555652941176476,-0.029050636292510385,-0.042599819008309725,0.00026120099839273964,4.416606713324861e-05
3399.19,-0.028790899999999998,-0.04243367647058824,-0.028919160593205956,-0.042467377035156524,0.00012826059320595815,3.3700564568285574e-05
3400.07,-0.028696647058823528,-0.04223686470588235,-0.02880183243718434,-0.04236526361232686,0.00010518537836081213,0.00012839890644451152
3400.95,-0.028465658823529406,-0.04202014705882353,-0.028692272792629175,-0.042300312549234276,0.0002266139690997697,0.0002801654904107456
3401.83,-0.02808908235294117,-0.04185072941176471,-0.02858065186994645,-0.04227792100602271,0.0004915695170052796,0.0004271915942580043
3402.71,-0.027592858823529406,-0.04179172941176471,-0.028453894565746127,-0.04230008935803571,0.0008610357422167217,0.000508359946270999
3403.59,-0.027032394117647053,-0.041886094117647064,-0.028297166918234022,-0.04236337055502649,0.001264772800586969,0.00047727643737942305
3404.47,-0.026479958823529406,-0.04214452941176472,-0.02809677769387363,-0.04245770654566227,0.0016168188703442228,0.0003131771338975506
3405.35,-0.026007235294117644,-0.042540829411764715,-0.027843765495888108,-0.04256720955486482,0.0018365302017704643,2.638014310010761e-05
3406.23,-0.02566717058823529,-0.04301652941176471,-0.02753662890533521,-0.04267317894885404,0.0018694583170999202,-0.00034335046291066734
3407.11,-0.025480288235294114,-0.04349440000000001,-0.02718175272232695,-0.04275831222292659,0.0017014644870328374,-0.0007360877770734228
3407.99,-0.025429676470588233,-0.04389731176470588,-0.02679130513091196,-0.04281025196840028,0.0013616286603237264,-0.0010870597963056061
3408.88,-0.02546634705882353,-0.04416698235294118,-0.02637504066456534,-0.042823007432726476,0.0009086936057418095,-0.0013439749202147008
3409.76,-0.025523247058823532,-0.044277176470588236,-0.02595606863158997,-0.04279624531917821,0.00043282157276643834,-0.0014809311514100282
3410.64,-0.02553355294117647,-0.04423775882352941,-0.025540624435050608,-0.04273430143847265,7.071493874136886e-06,-0.001503457385056764
3411.52,-0.02544797058823529,-0.04408931176470589,-0.025136172861736947,-0.04264312223005556,-0.0003117977264983432,-0.0014461895346503245
3412.4,-0.025246635294117647,-0.04389018823529412,-0.024747157865805086,-0.04252909482598432,-0.0004994774283125607,-0.001361093409309802
3413.28,-0.02494351176470588,-0.043699511764705885,-0.024375719018698182,-0.0423981222024428,-0.0005677927460076976,-0.0013013895622630833
3414.16,-0.024582041176470587,-0.04356100588235295,-0.024022438471464163,-0.042255206106422555,-0.0005596027050064241,-0.0013057997759303927
3415.04,-0.024223064705882348,-0.0434917,-0.023686955138310074,-0.042104356356412215,-0.0005361095675722738,-0.0013873436435877864
3415.92,-0.023928947058823525,-0.04347569411764706,-0.023368407069733133,-0.0419486710500699,-0.0005605399890903917,-0.0015270230675771615
3416.81,-0.023746388235294118,-0.04346732352941177,-0.023062369272716255,-0.0417886801776561,-0.0006840189625778627,-0.0016786433517556668
3417.69,-0.02369260588235294,-0.043402552941176474,-0.02277460276422495,-0.04162972375103835,-0.0009180031181279906,-0.001772829190138124
3418.57,-0.023748994117647058,-0.0432161705882353,-0.02250054097287983,-0.04147128209538074,-0.001248453144767226,-0.0017448884928545558
3419.45,-0.023864194117647057,-0.04286002352941177,-0.02223925814119215,-0.041314285523963996,-0.0016249359764549075,-0.001545738005447772
3420.33,-0.02396615294117647,-0.042317364705882356,-0.021989961290350715,-0.04115942266376794,-0.0019761916508257565,-0.0011579420421144182
3421.22,-0.02397968823529412,-0.041609200000000006,-0.021749350349031988,-0.04100550194558785,-0.002230337886262132,-0.0006036980544121551
3422.1,-0.023844776470588237,-0.040791058823529416,-0.021522295492481722,-0.04085639628938117,-0.002322480978106514,6.533746585175165e-05
3422.98,-0.023530705882352947,-0.03994145294117647,-0.02130561280487588,-0.040710703274511637,-0.0022250930774770673,0.0007692503333351641
3423.86,-0.02304294117647059,-0.03914533529411765,-0.02109898467972235,-0.040568732709106776,-0.00194395649674824,0.0014233974149891263
3424.75,-0.022421376470588235,-0.03847655882352942,-0.020899997661349135,-0.04042924405932541,-0.0015213788092390997,0.0019526852357959895
3425.63,-0.02173105294117647,-0.037983529411764715,-0.020712959507177213,-0.040295691403273354,-0.0010180934339992578,0.002312161991508639
3426.51,-0.021047423529411767,-0.03768068823529413,-0.020535472434049466,-0.040166831338358105,-0.0005119510953623015,0.002486143103063977
3427.39,-0.020439576470588236,-0.03754793529411765,-0.020367470770317527,-0.04004305606690304,-7.210570027070887e-05,0.0024951207727853877
3428.28,-0.019954917647058826,-0.03753838235294117,-0.020207167285786476,-0.03992350476476109,0.00025224963872765016,0.002385122411819922
3429.16,-0.01960964705882353,-0.03759187647058823,-0.02005813492498718,-0.03981138572199452,0.00044848786616364864,0.002219509251406286
3430.05,-0.01938768235294118,-0.03765051176470588,-0.01991695027729993,-0.03970475908871787,0.0005292679243587492,0.002054247324011993
3430.93,-0.0192472,-0.03767444705882352,-0.019786725247723385,-0.03960670515919424,0.000539525247723386,0.0019322581003707179
3431.81,-0.019133923529411765,-0.037651170588235285,-0.019665714769757984,-0.03951675437073905,0.0005317912403462188,0.0018655837825037672
3432.7,-0.018996929411764705,-0.03759678235294117,-0.019552524166843662,-0.039434901383809215,0.0005555947550789572,0.0018381190308680434
3433.58,-0.018802352941176475,-0.03754921176470589,-0.01944942737134169,-0.03936394741361556,0.0006470744301652134,0.0018147356489096739
3434.46,-0.018541623529411768,-0.03755611764705883,-0.01935471233845463,-0.039303961544423276,0.0008130888090428605,0.0017478438973644456
3435.35,-0.018232523529411765,-0.037660805882352946,-0.019266892843642212,-0.039255593510308745,0.0010343693142304475,0.0015947876279557988
3436.23,-0.0179135,-0.03788987647058824,-0.0191872081060452,-0.03922112398358366,0.0012737081060452023,0.0013312475129954246
3437.12,-0.017632929411764708,-0.03824530588235294,-0.019112876664660293,-0.03920101975503208,0.0014799472528955852,0.0009557138726791412
3438.0,-0.017436111764705883,-0.03870269999999999,-0.019044358232721874,-0.03919696639323607,0.0016082464680159912,0.0004942663932360758
3438.88,-0.01735289411764706,-0.0392159294117647,-0.0189793038748223,-0.03920983115291,0.0016264097571752414,-6.098258854704552e-06
3439.77,-0.017389017647058823,-0.03972733529411765,-0.01891521237368421,-0.03924114740898987,0.0015261947266253864,-0.0004861878851277826
3440.65,-0.01752343529411765,-0.04018095294117647,-0.018851406174575595,-0.03929112201935135,0.001327970880457944,-0.0008898309218251174
3441.54,-0.017712476470588236,-0.04053551764705883,-0.018783967387313832,-0.039361553972631226,0.001071490916725596,-0.0011739636744276041
3442.42,-0.017899858823529412,-0.040773711764705886,-0.018711693673302318,-0.03945116724082507,0.0008118348497729057,-0.0013225445238808156
3443.31,-0.01802984705882353,-0.04090531764705883,-0.01862994476931771,-0.039561865488350216,0.0006000977104941782,-0.0013434521587086107
3444.19,-0.018060552941176474,-0.04096348235294117,-0.01853745048921099,-0.03969050757674309,0.0004768975480345175,-0.0012729747761980811
3445.08,-0.017973164705882352,-0.040995452941176465,-0.018428909504378897,-0.039838753175678324,0.0004557447984965442,-0.0011566997654981412
3445.96,-0.017773735294117646,-0.041050682352941174,-0.018303701828050446,-0.04000139201549242,0.0005299665339328005,-0.0010492903374487578
3446.85,-0.017491729411764707,-0.04116864117647059,-0.018156127913134354,-0.0401795642933528,0.0006643985013696473,-0.0009890768831177857
3447.73,-0.017172299999999998,-0.04136955882352941,-0.017987103132184327,-0.04036614899648666,0.0008148031321843288,-0.0010034098270427505
3448.62,-0.016865394117647058,-0.0416498,-0.017790922411440188,-0.04056170386377888,0.0009255282937931306,-0.0010880961362211214
3449.5,-0.01661395882352941,-0.04198275294117647,-0.01757085338868456,-0.04075783077507502,0.0009568945651551516,-0.0012249221661014484
3450.39,-0.016443941176470588,-0.042325082352941176,-0.017321532264842503,-0.04095471634730357,0.0008775910883719144,-0.0013703660056376063
3451.28,-0.016358470588235294,-0.042627023529411764,-0.017045784706201144,-0.04114582035568912,0.0006873141179658503,-0.0014812031737226478
3452.16,-0.016337841176470587,-0.042844099999999996,-0.016748423103475192,-0.04132505348165631,0.00041058192700460516,-0.0015190465183436835
3453.05,-0.016345117647058822,-0.042947041176470586,-0.01642470880508536,-0.041492785297775066,7.959115802653668e-05,-0.0014542558786955206
3453.94,-0.016335617647058823,-0.04292741176470588,-0.01608053319635634,-0.04164371511399267,-0.0002550844507024849,-0.0012836966507132133
3454.82,-0.01626728823529412,-0.04279771176470588,-0.015723146452606227,-0.041773927248738886,-0.0005441417826878917,-0.0010237845159669912
3455.71,-0.016109158823529413,-0.0425868294117647,-0.015347773532833647,-0.041884546341952024,-0.0007613852906957659,-0.0007022830698126745
3456.59,-0.015846152941176472,-0.04233275882352941,-0.014966246410064181,-0.04197196660060541,-0.000879906531112291,-0.0003607922229239974
