wavenumber_cm-1,raw_trace,finite,interp_trace,smooth_17,smooth_1,smooth_7,smooth_11,smooth_25,smooth_33
2667.2,-12.001,True,-12.001,-1.109509411764706,-12.001,-2.66188,-1.1893681818181818,-1.2201727999999905,-1.1741551515151443
2668.0,1.5,True,1.5,-1.2279964705882214,1.5,-1.6761514285714285,-1.12606,-1.1458847999999906,-1.0226460606060535
2668.8,1.0,True,1.0,-1.0767364705882214,1.0,-1.7832928571428572,-1.42606,-1.0938847999999906,-0.9999248484848413
2669.6,-0.85715,True,-0.85715,-1.4590776470588096,-0.85715,-0.8445214285714285,-1.3987872727272728,-1.0638851999999905,-1.1703763636363567
2670.4,4.5001,True,4.5001,-1.4458429411764566,4.5001,0.6556214285714284,-1.4796309090908875,-1.1078851999999906,-1.1703763636363567
2671.2,-1.125,True,-1.125,-1.6777723529411626,-1.125,0.14133571428571418,-1.0185927272727056,-1.2578927999999905,-1.1173460606060535
2672.0,1.0714,True,1.0714,-1.4777723529411626,1.0714,-0.18213428571425194,-0.6093927272727057,-1.2878967999999904,-1.199161212121205
2672.8,-1.5,True,-1.5,-1.3674776470588097,-1.5,-0.12090999999996618,-0.6912109090908874,-1.3528967999999904,-1.1082493939393867
2673.6,-2.1,True,-2.1,-1.0792423529411626,-2.1,-1.8351814285713945,-0.9769199999999784,-1.3078971999999902,-1.108249393939387
2674.4,-inf,False,-1.2642899999997625,-0.5497835294117507,-1.2642899999997625,-1.588752857142823,-0.8080881818181602,-1.4698971999999904,-1.1194978989898907
2675.2,-0.42858,True,-0.42858,-0.8586129411764565,-0.42858,-2.0479242857142514,-1.080824545454524,-1.4938931999999903,-1.0203242626262543
2676.0,-7.4998,True,-7.4998,-1.0718482352941034,-7.4998,-1.6907814285713945,-1.0330972727272514,-1.3288887999999903,-0.9445636565656481
2676.8,0.6,True,0.6,-0.9331923529411624,0.6,-1.1764957142856802,-1.403242727272706,-1.0888887999999903,-1.069560929292921
2677.5,-2.1428,True,-2.1428,-1.3302570588235154,-2.1428,-1.0815971428571427,-1.6077972727272514,-0.5936972266666555,-1.1370933535353454
2678.3,1.0,True,1.0,-1.440545294117633,1.0,-1.4489714285714284,-1.6555245454545238,-0.6427880266666555,-0.9734569898989814
2679.1,1.5,True,1.5,-1.2829747058823389,1.5,-0.9132999999999999,-1.4042254545454542,-0.6227840266666556,-1.0378506262626177
2679.9,-0.6,True,-0.6,-1.1653276470588094,-0.6,-1.3740142857142856,-1.5698090909090907,-0.7384940266666555,-0.6439172929292845
2680.7,-3.0002,True,-3.0002,-1.019516509803905,-3.0002,-0.8536142857142855,-1.1607272727272728,-0.9356408266666556,-0.2688869898989814
2681.5,-3.7501,True,-3.7501,-0.9291035686274485,-3.7501,-1.3179,-0.8743545454545454,-0.7706408266666556,-0.3825233535353451
2682.3,-2.625,True,-2.625,-0.8156518039215662,-2.625,-1.9607428571428571,-0.6340999999999999,-0.9134968266666554,-0.48425365656564817
2683.1,1.5,True,1.5,-0.5950694509803898,1.5,-1.3393000000000002,-0.6905736969696933,-0.5535048266666556,-0.6401097171717087
2683.9,-2.25,True,-2.25,-0.6555735686274485,-2.25,-0.8392714285714286,-0.8021436969696933,-0.45450482666665554,-0.5719278989898905
2684.7,-2.9999,True,-2.9999,-0.35305592156862503,-2.9999,-0.24943009523808932,-0.6112255151515114,-0.49393322666666506,-0.44693092929292083
2685.5,3.7501,True,3.7501,-0.5589382745098015,3.7501,0.16453133333333927,-0.6793800606060569,-0.5710740266666651,-0.3657582020201936
2686.3,0.5,True,0.5,-0.20600886274509567,0.5,0.16454561904762494,-0.3774227878787841,-0.511098026666665,-0.3354551717171632
2687.1,-inf,False,0.37878933333337467,-0.14865592156862498,0.37878933333337467,-0.04972580952380355,0.13394084848485227,-0.26509402666666504,0.22821149494950346
2687.8,0.27273,True,0.27273,-0.10452650980391914,0.27273,0.31760704761905345,-0.22969551515151138,-0.05938602666666501,0.22106876767676892
2688.6,1.5001,True,1.5001,-0.0225853333333309,1.5001,0.21044990476191064,0.6566499393939432,0.05061797333333502,0.23405604040404168
2689.4,-3.7499,True,-3.7499,-0.22113827450980147,-3.7499,-0.2181215238095179,0.963459030303034,-0.029382026666665003,0.4783681616161631
2690.2,-0.42857,True,-0.42857,0.08769113725490434,-0.42857,0.7991657142857141,0.4179953939393977,0.6546579733333351,0.3692802828282843
2691.0,3.0,True,3.0,0.39650878431372794,3.0,0.8137757142857143,0.158259030303034,0.714665973333335,0.2978469494949509
2691.8,-2.5,True,-2.5,0.7935676078431397,-2.5,0.2780471428571428,-0.4216672727272727,0.864669973333335,0.19936210101010238
2692.6,7.4998,True,7.4998,0.5435617254901985,7.4998,0.47701857142857135,0.16718454545454542,0.9921699733333349,0.24481664646464782
2693.4,0.375,True,0.375,1.4847970196078455,0.375,-0.31895714285714283,0.30352999999999997,0.812173973333335,0.2933014949494963
2694.2,-2.25,True,-2.25,1.3742800000000002,-2.25,0.2167714285714286,0.9853481818181818,0.722169973333335,0.37095907070705963
2695.0,-2.3571,True,-2.3571,1.3582370588235295,-2.3571,1.0024714285714285,0.9788545454545454,0.752165973333335,0.4277802828282718
2695.8,-6.0004,True,-6.0004,1.3030841176470591,-6.0004,0.46679999999999994,2.206218181818182,0.722161973333335,0.5073257373737264
2696.6,6.7501,True,6.7501,1.3472017647058825,6.7501,0.3418000000000001,2.297127272727273,0.742161973333335,0.45050755555554456
2697.4,2.9999,True,2.9999,1.1077000000000001,2.9999,3.0205142857142855,1.6153272727272727,0.7095103999999837,0.5054317979797874
2698.2,3.7501,True,3.7501,0.7988764705882354,3.7501,3.1429571428571426,1.632372727272727,0.6236011999999838,0.581186343434333
2699.0,-0.5,True,-0.5,1.1224058823529415,-0.5,4.000157142857143,1.5641999999999998,0.5635971999999837,0.5016378585858481
2699.8,16.501,True,16.501,0.7400647058823533,16.501,3.1162142857142854,1.3693818181818187,0.6985931999999838,0.5092130101009996
2700.6,-1.5,True,-1.5,0.6922705882352705,-1.5,2.2591,1.7103272727272731,0.6982359999999845,0.3916739393939276
2701.3,0.0,True,0.0,0.714329411764682,0.0,1.0805,1.3694090909090906,0.5582359999999844,0.315227575757564
2702.2,0.5625,True,0.5625,0.8529823529411528,0.5625,0.8304999999999998,1.1875999999999998,0.7032359999999845,0.26522454545453367
2702.9,-2.9999,True,-2.9999,1.1838882352940938,-2.9999,-1.0982142857142856,0.8069090909090537,0.43324319999998434,0.35710484848484153
2703.7,-4.5001,True,-4.5001,0.761088235294095,-4.5001,-0.7410714285714286,0.6819090909090536,0.27824319999998426,0.3311312121212051
2704.5,-2.25,True,-2.25,0.5552117647058596,-2.25,-0.803571428571487,-0.8181818181818552,0.2782431999999843,0.10385545454544762
2705.3,3.0,True,3.0,0.40079411764703593,3.0,-1.1517857142857726,-0.7159090909091279,0.36652719999998434,0.03188575757575071
2706.1,1.0,True,1.0,0.4743223529411536,1.0,-0.7232285714286296,-0.7556818181818535,0.5778291999999909,-0.25901727272727965
2706.9,inf,False,-0.43750000000040856,-0.7022070588235525,-0.43750000000040856,-0.1339285714286298,-0.8522727272727626,0.2563971999999909,-0.6340475757575827
2707.7,-1.875,True,-1.875,-0.7463247058823759,-1.875,0.12499999999994411,-0.47728181818185367,-0.043602800000009295,-0.533399090909098
2708.5,0.0,True,0.0,-0.7551482352941405,0.0,-0.37500000000005584,-1.8181818537177123e-06,-0.3886068000000092,-0.48015363636364344
2709.3,-0.375,True,-0.375,-0.830462941176484,-0.375,-0.35714285714291294,-0.11363818181821737,-0.4526068000000092,-0.5256112121212191
