smoothing_points,window_start_cm-1,window_end_cm-1,model,species,r2,sse,aic,bic,shift_cm-1,global_sign,p_value
11,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9969971938082767,0.006829497757204279,-4283.44426522235,-4259.616694183607,-9.0,1.0,4.5232992375178e-309
11,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9970349556840766,0.006743613211343688,-4288.405131066787,-4264.577560028045,-8.0,1.0,3.93407106798114e-310
11,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.996347993671771,0.011468764152017327,-4668.832156325753,-4648.364307475527,2.0,1.0,1.0087096884425387e-283
11,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9959209127056736,0.012809969624780055,-4617.837877819515,-4593.276459199244,-2.0,1.0,1.7851511150319685e-271
11,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9951994089954967,0.01507578056351329,-4547.688339382577,-4527.2204905323515,9.0,1.0,1.021569233291281e-257
11,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.99638591857881,0.011349664737825204,-4671.456621915804,-4646.895203295533,0.0,1.0,5.876728767374566e-283
17,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.990093810628848,0.0580642978483443,-6287.900099989474,-6265.341373341251,1.0,1.0,0.0
17,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9956117296052602,0.025721478733412236,-6833.873248301525,-6806.802776323656,-3.0,1.0,0.0
17,3200.0,3800.0,I+II+VIII,I+II+VIII,0.9759424130433095,0.1410115274631859,-5690.753484476307,-5668.194757828083,-2.0,1.0,3.4407215892019815e-207
17,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9953501498574218,0.019172943996780996,-5714.188963089267,-5692.576136889631,4.0,1.0,0.0
17,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.995433456579096,0.018829441505251326,-5722.258651940624,-5696.323260501061,2.0,1.0,0.0
17,3300.0,3800.0,I+II+VIII,I+II+VIII,0.9946552724095038,0.022038164592077275,-5636.612461572844,-5614.999635373208,7.0,1.0,0.0
17,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9930066855915655,0.028835859520937306,-5484.866336707283,-5458.93094526772,-8.0,1.0,0.0
17,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.9976027390960062,0.005442561446173365,-4374.428787341137,-4354.572478142184,-7.0,1.0,0.0
17,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9975790879936763,0.005496257135902292,-4368.580313343916,-4344.752742305173,-9.0,1.0,0.0
17,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9976190152517118,0.005405609282398511,-4375.099339747845,-4351.271768709103,-8.0,1.0,0.0
17,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.9966773374770062,0.010414453287519762,-4711.551797540664,-4691.083948690438,2.0,1.0,4.608111793458484e-292
17,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9962353232922685,0.011799889228580773,-4654.223062918599,-4629.661644298328,-2.0,1.0,1.941846255232724e-278
17,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9955517598234553,0.01394242996684249,-4582.310035841299,-4561.8421869910735,9.0,1.0,2.556753184406411e-264
17,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.996716617655405,0.010291334680008946,-4714.820100878631,-4690.25868225836,0.0,1.0,2.0464062245960483e-291
25,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.9907103769642059,0.05432461489072549,-6332.704094417834,-6310.145367769611,1.0,1.0,0.0
25,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9960148935841087,0.023304430169845902,-6900.286848546457,-6873.216376568588,-3.0,1.0,0.0
25,3200.0,3800.0,I+II+VIII,I+II+VIII,0.9764030503109288,0.1379921660454157,-5705.320385300067,-5682.761658651843,-3.0,1.0,1.3189585041773465e-208
25,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9956851981773744,0.017773507195350032,-5756.404622282902,-5734.791796083266,4.0,1.0,0.0
25,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.995772075797866,0.017415641393768142,-5765.734144695511,-5739.798753255947,2.0,1.0,0.0
25,3300.0,3800.0,I+II+VIII,I+II+VIII,0.9950084101726374,0.020561328505901123,-5675.248014650865,-5653.635188451229,7.0,1.0,0.0
25,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9933069011735074,0.027570174724610694,-5509.867377716685,-5483.931986277122,-8.0,1.0,0.0
25,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.9979455044313067,0.0046503726079570986,-4436.091350482946,-4416.235041283993,-7.0,1.0,0.0
25,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9979354039298372,0.004673235200642218,-4432.168885600386,-4408.341314561643,-8.0,1.0,0.0
25,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9979645368291774,0.004607292572609036,-4437.739677663678,-4413.912106624935,-8.0,1.0,0.0
25,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.9968469039784842,0.00985868963892014,-4735.846501156144,-4715.378652305918,3.0,1.0,5.403053373890951e-296
25,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.996383250506905,0.011308380877345904,-4673.070950948546,-4648.509532328275,-2.0,1.0,3.414344392650191e-281
25,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9958006249979692,0.013130058374358626,-4608.90446527675,-4588.436616426524,9.0,1.0,9.622440583837575e-269
25,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.996885211151404,0.00973891576391445,-4739.261498160976,-4714.700079540705,0.0,1.0,2.280762290525328e-295
33,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.9913256525418854,0.050597082047168285,-6380.543309805481,-6357.9845831572575,1.0,1.0,0.0
33,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9963237647771553,0.021443316179473426,-6956.300962764795,-6929.230490786927,-3.0,1.0,0.0
33,3200.0,3800.0,I+II+VIII,I+II+VIII,0.9772899348264853,0.13246679781151124,-5732.822452426173,-5710.26372577795,-3.0,1.0,1.9568734292254533e-212
33,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9960229895157768,0.016357356635614835,-5802.653026025693,-5781.040199826057,4.0,1.0,0.0
33,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9961008523087365,0.016037108680992354,-5811.666260559994,-5785.730869120431,2.0,1.0,0.0
33,3300.0,3800.0,I+II+VIII,I+II+VIII,0.9953649449424714,0.019063879490002416,-5717.366480962615,-5695.753654762979,7.0,1.0,0.0
33,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9940195821324007,0.024597327132626946,-5573.419283405879,-5547.483891966315,-7.0,1.0,0.0
33,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.9980988241944778,0.004286206067170032,-4468.057136347092,-4448.200827148139,-7.0,1.0,0.0
33,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9980852094165055,0.004316900621444901,-4463.259933716314,-4439.432362677571,-8.0,1.0,0.0
33,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9981380928873986,0.004197674691293209,-4474.238665558713,-4450.411094519971,-8.0,1.0,0.0
33,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.996977159088028,0.009421829364521328,-4755.925030202456,-4735.45718135223,3.0,1.0,1.2058159690319689e-298
33,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9964831247545874,0.01096167460462567,-4686.86555414625,-4662.304135525979,-2.0,1.0,1.714344971158114e-282
33,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9960116701499053,0.012431141562294494,-4633.136296638067,-4612.668447787841,9.0,1.0,2.7570690510890745e-272
33,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9970151498538617,0.009303416744229312,-4759.527892747878,-4734.9664741276065,0.0,1.0,4.707713960480553e-298
