wavenumber_cm-1,real,imag,abs_chi,intensity_abs2,phase_rad,imag_smooth,intensity_smooth
3706.31,0.00427939,-0.0223359,0.02274215485793068,0.0005172056075820999,-1.3814978561792246,-0.022532858823529414,0.0005287992224996647
3707.23,0.00444,-0.0221554,0.022595914435136276,0.0005105753491599999,-1.373013671310064,-0.02232841176470588,0.0005210043946815
3708.15,0.00461341,-0.0219683,0.02244748887332612,0.0005038897567181001,-1.3638012115452613,-0.02215159411764706,0.0005146777423285823
3709.06,0.00480326,-0.0217853,0.022308532061020958,0.0004976706027176,-1.3537866053333982,-0.022002729411764708,0.0005097309947886823
3709.98,0.00501483,-0.021614,0.022188139082151528,0.0004923135159289,-1.342812483993395,-0.02187941764705882,0.0005059517288592058
3710.9,0.00524804,-0.021465,0.022097243014493916,0.0004882881488416001,-1.3310074993265848,-0.021777276470588233,0.0005030508316167882
3711.81,0.00549671,-0.0213493,0.022045553549731974,0.00048600643131410003,-1.3188036674043755,-0.02169078823529412,0.0005007101192907118
3712.73,0.00574885,-0.0212752,0.022038226139199587,0.00048568341136249994,-1.3068853456040972,-0.02161419411764706,0.0004986264573283588
3713.65,0.00598818,-0.0212461,0.02207385478167327,0.00048725506492239994,-1.2960743959164722,-0.021542147058823527,0.0004965399279810235
3714.57,0.00619626,-0.0212596,0.0221441692133076,0.0004903642301476001,-1.2871954242038695,-0.021470223529411765,0.0004942513414219823
3715.48,0.00635525,-0.0213062,0.022233833700072956,0.0004943433610024999,-1.2809166797992033,-0.021395217647058824,0.0004916269047153705
3716.4,0.00645071,-0.0213706,0.02232295240025611,0.0004983142038641,-1.2776433905822588,-0.02131524705882353,0.000488593563167247
3717.32,0.00647405,-0.0214332,0.022389626741920018,0.0005012953856424999,-1.2774533648323154,-0.02122870588235294,0.00048509065963871174
3718.24,0.00642405,-0.0214732,0.022413539136925703,0.0005023667366425002,-1.2801049032090774,-0.021134347058823527,0.0004810683536802117
3719.15,0.00630726,-0.0214714,0.02237861806876376,0.0005008025466675999,-1.2850817403575236,-0.02103091176470588,0.00047647222925664115
3720.07,0.00613672,-0.0214139,0.022275871376186387,0.0004962144455684,-1.291699730113856,-0.020916829411764707,0.00047123467661922946
3720.99,0.00592957,-0.0212939,0.022104071516236553,0.0004885899775949001,-1.2992131583343371,-0.02079015294117647,0.0004652785725298412
3721.91,0.00570372,-0.0211132,0.02187006255314328,0.0004782996360784,-1.306945174295154,-0.020648723529411765,0.00045853078762146476
3722.83,0.00547476,-0.0208803,0.021586104909121516,0.0004659599251476,-1.3143711271426266,-0.02049055294117647,0.0004509428685039353
3723.75,0.0052536,-0.0206088,0.021267885423802715,0.00045232295040000003,-1.3211922484785894,-0.020314399999999996,0.00044251628251085293
3724.67,0.00504565,-0.0203141,0.020931345936955417,0.00043812124273250004,-1.327341380639201,-0.02012040588235294,0.00043332544114192944
3725.58,0.00485162,-0.0200099,0.02058966523852197,0.00042393431463439997,-1.3329256995465777,-0.019910670588235292,0.00042353403529531765
3726.5,0.00466947,-0.0197066,0.020252259963789227,0.00041015403364090005,-1.3381376497032047,-0.019689629411764706,0.00041339991502061175
3727.42,0.00449709,-0.0194099,0.019924056727436305,0.0003969680364780999,-1.3431229397034283,-0.019464117647058823,0.00040326610470908233
3728.34,0.00433477,-0.0191217,0.019606877411839446,0.0003844296418428999,-1.3478703287674854,-0.019242994117647058,0.0003935352497847294
3729.26,0.0041868,-0.0188418,0.01930136579312459,0.0003725427214800001,-1.352140867870645,-0.019036394117647057,0.0003846324596176705
3730.18,0.00406186,-0.0185707,0.019009723963003777,0.00036136960514960003,-1.35546332617074,-0.01885454705882353,0.0003769559108563588
3731.1,0.00397199,-0.0183116,0.0187374330984823,0.0003510913991201,-1.357194186813356,-0.018706435294117647,0.0003708266664446706
3732.02,0.00393032,-0.0180727,0.018495131807921783,0.0003420699005924001,-1.3566578620307148,-0.01859844117647059,0.0003664424534871647
3732.94,0.00394801,-0.0178677,0.018298674439699177,0.0003348414862501,-1.353332499417378,-0.018533241176470587,0.00036384415660080583
3733.86,0.00403085,-0.0177155,0.018168288085906717,0.00033008669197249997,-1.3470728333130046,-0.018509229411764708,0.0003629040845076294
3734.78,0.00417604,-0.0176377,0.018125335069222856,0.0003285277713715999,-1.338309713906546,-0.018520564705882356,0.00036333778073739415
3735.7,0.00437012,-0.0176548,0.018187630737795397,0.00033078991185439994,-1.3281422571702395,-0.018558135294117647,0.0003647490865328059
3736.62,0.00458843,-0.0177817,0.01836416468982186,0.00033724254475490006,-1.3182629204883427,-0.018610741176470588,0.00036668428718351177
3737.54,0.00479719,-0.0180218,0.018649351386471863,0.0003477983071361,-1.3106407155316082,-0.01866661176470588,0.00036869751833895295
3738.46,0.00495833,-0.0183624,0.019020062306651365,0.0003617627701489,-1.307060026754636,-0.018714917647058824,0.00037041481440444114
3739.38,0.00503682,-0.0187729,0.019436854944213582,0.0003777913301224,-1.3086671290188352,-0.01874707058823529,0.00037158707053017647
3740.3,0.00500912,-0.0192057,0.019848178648541027,0.00039395019566439995,-1.3156657393418347,-0.01875756470588235,0.00037211947188138235
3741.22,0.00487098,-0.0196017,0.0201978486243065,0.0004079530890504,-1.327231965555886,-0.01874434705882353,0.0003720730772757059
3742.14,0.00464163,-0.0198993,0.02043347424073792,0.0004175268695469001,-1.3416377885483646,-0.018708570588235295,0.0003716305394728294
3743.06,0.00436049,-0.0200486,0.020517315492044764,0.00042096023500010006,-1.3566356888393534,-0.01865376470588235,0.0003710289839015353
3743.98,0.00408507,-0.020016,0.02042860868744859,0.00041732805290489993,-1.3694709669385874,-0.018584529411764708,0.00037047182166685883
3744.91,0.00388075,-0.0197916,0.020168481626599958,0.0004067676511225001,-1.377172187359231,-0.018504870588235293,0.0003700389224809294
3745.83,0.00381023,-0.0193919,0.019762682972281367,0.00039056363826289986,-1.3767822258539286,-0.01841675882352941,0.0003696318291728118
3746.75,0.00392276,-0.0188582,0.019261873046451116,0.0003710197532576,-1.3657074957286988,-0.018319288235294117,0.00036897640165657646
3747.67,0.00424477,-0.0182511,0.018738215591749926,0.00035112072356290004,-1.342282630887403,-0.018208870588235296,0.0003676915361207235
3748.59,0.00477256,-0.017643,0.01827711076602645,0.00033405277795359997,-1.3066117376001483,-0.0180806,0.00036540645119710586
3749.51,0.00546844,-0.0171073,0.017960054268392398,0.0003225635493236,-1.2614060479481828,-0.01793044705882353,0.00036188610127308823
3750.44,0.00626186,-0.016706,0.017841001279625533,0.0003183013266595999,-1.21217732914018,-0.017757670588235294,0.0003571243354696471
3751.36,0.00705693,-0.0164778,0.01792534947678566,0.00032131815386489995,-1.1661601160844093,-0.017566382352941175,0.00035136665455420585
3752.28,0.00774729,-0.0164275,0.018162688638913016,0.00032988325859409996,-1.1301217046754142,-0.017366182352941177,0.0003450747294775
3753.2,0.00823641,-0.0165239,0.01846287412344297,0.00034087772089809996,-1.1083859940780432,-0.01717117647058824,0.0003388333702175235
3754.12,0.00845873,-0.0167054,0.018724863213730025,0.0003506205023728999,-1.1020839801012376,-0.0169976,0.0003332265214019177
