window_start_cm-1,window_end_cm-1,species,max_shift_cm-1,shift_cm-1,global_sign,r2,sse,aic,bic,p_value,parameter_count,feasible
3350.0,3700.0,I+VIII,20,1.0,1.0,0.9909248156567436,0.020603618213285282,-3854.5917634556104,-3838.7067160964484,3.8919048393927176e-219,4.0,True
3350.0,3700.0,I+II+VIII,20,,,,,,,,,False
3350.0,3700.0,I+VI+VIII,20,-7.0,1.0,0.9976027390960062,0.005442561446173365,-4374.428787341137,-4354.572478142184,0.0,5.0,True
3350.0,3700.0,I+II+VI+VIII,20,-8.0,1.0,0.9976190152517118,0.005405609282398511,-4375.099339747845,-4351.271768709103,0.0,6.0,True
3350.0,3700.0,I+II+VII+VIII,20,,,,,,,,,False
3350.0,3700.0,I+VI+VII+VIII,20,-9.0,1.0,0.9975790879936763,0.005496257135902292,-4368.580313343916,-4344.752742305173,0.0,6.0,True
3350.0,3700.0,I+II+VI+VII+VIII,20,-9.0,1.0,0.9976113956264372,0.005422908308418181,-4371.846864713893,-4344.04803183536,0.0,7.0,True
3350.0,3700.0,I+IV+VI+VIII,20,-10.0,1.0,0.9977313494994117,0.005150574027538634,-4394.0443078709395,-4370.216736832197,0.0,6.0,True
3350.0,3700.0,I+V+VI+VII,20,,,,,,,,,False
3400.0,3800.0,I+VIII,20,10.0,1.0,0.9955818030569423,0.013848263361118662,-4587.312189511702,-4570.937910431521,8.860504808151509e-267,4.0,True
3400.0,3800.0,I+II+VIII,20,9.0,1.0,0.9955517598234553,0.01394242996684249,-4582.310035841299,-4561.8421869910735,2.556753184406411e-264,5.0,True
3400.0,3800.0,I+VI+VIII,20,2.0,1.0,0.9966773374770062,0.010414453287519762,-4711.551797540664,-4691.083948690438,4.608111793458484e-292,5.0,True
3400.0,3800.0,I+II+VI+VIII,20,0.0,1.0,0.996716617655405,0.010291334680008946,-4714.820100878631,-4690.25868225836,2.0464062245960483e-291,6.0,True
3400.0,3800.0,I+II+VII+VIII,20,7.0,1.0,0.995489837812344,0.014136516452522358,-4574.185754592499,-4549.6243359722275,2.678886115910211e-261,6.0,True
3400.0,3800.0,I+VI+VII+VIII,20,-2.0,1.0,0.9962353232922685,0.011799889228580773,-4654.223062918599,-4629.661644298328,1.941846255232724e-278,6.0,True
3400.0,3800.0,I+II+VI+VII+VIII,20,,,,,,,,,False
3400.0,3800.0,I+IV+VI+VIII,20,-5.0,1.0,0.9969375952973023,0.009598709018148967,-4745.685521534523,-4721.124102914252,5.021289487486243e-298,6.0,True
3400.0,3800.0,I+V+VI+VII,20,,,,,,,,,False
3200.0,3800.0,I+VIII,80,1.0,1.0,0.976750927467483,0.136272488001998,-5715.760105645758,-5697.713124327179,1.0087916421303576e-213,4.0,True
3200.0,3800.0,I+II+VIII,80,-2.0,1.0,0.9759424130433095,0.1410115274631859,-5690.753484476307,-5668.194757828083,3.4407215892019815e-207,5.0,True
3200.0,3800.0,I+VI+VIII,80,1.0,1.0,0.990093810628848,0.0580642978483443,-6287.900099989474,-6265.341373341251,0.0,5.0,True
3200.0,3800.0,I+II+VI+VIII,80,-29.0,1.0,0.9678536236450787,0.18842328785403262,-5493.6848914594975,-5466.614419481629,8.528689457990297e-164,6.0,True
