sio2_wat_a_fre.d.real,sio2_wat_a_fre.d.imag
-0.124757,0.000381849
-0.112375,0.0170558
-0.0933944,0.0270195
-0.0724551,0.0286663
-0.0533574,0.0231252
-0.0381455,0.0125718
-0.0275563,-0.000953951
-0.0217264,-0.0158585
-0.0206236,-0.030825
-0.0241183,-0.0444979
-0.031764,-0.0553234
-0.0423571,-0.061649
-0.0536671,-0.0623561
-0.0628668,-0.0577398
-0.0677453,-0.0497767
-0.06775,-0.0412315
-0.0639071,-0.0343392
-0.0579182,-0.0301635
-0.0513563,-0.0287664
-0.0453407,-0.0296569
-0.0405388,-0.032132
-0.0372568,-0.0354469
-0.0355026,-0.0388933
-0.0350147,-0.0418689
-0.0353021,-0.0439781
-0.0357527,-0.0451374
-0.035817,-0.0456157
-0.0352034,-0.0459472
-0.0339836,-0.0467396
-0.0325672,-0.0484622
-0.0315752,-0.0512966
-0.0316743,-0.0550716
-0.0334074,-0.0592722
-0.0370348,-0.0631123
-0.0424027,-0.0656859
-0.0488942,-0.0661934
-0.0555168,-0.0641924
-0.0611395,-0.0597681
-0.0647927,-0.0535352
-0.0659072,-0.0464699
-0.0644082,-0.0396625
-0.0606764,-0.0340913
-0.0554337,-0.0304696
-0.0496084,-0.0291546
-0.0441898,-0.0300988
-0.0400601,-0.0328414
-0.0378072,-0.0365753
-0.0375663,-0.0403213
-0.0389775,-0.0431911
-0.0413132,-0.0446436
-0.0437351,-0.0446141
-0.0455642,-0.0434662
-0.0464558,-0.0418124
-0.0464392,-0.0402976
-0.0458523,-0.0394191
-0.0452126,-0.0394116
-0.0450635,-0.0402049
-0.0458174,-0.041453
-0.0476281,-0.0426368
-0.0503259,-0.0432276
-0.0534554,-0.0428688
-0.0564111,-0.0415152
-0.0586389,-0.0394715
-0.0598274,-0.0373113
-0.0600265,-0.0356984
-0.0596482,-0.0351687
-0.0593495,-0.035946
-0.0598301,-0.0378463
-0.0616108,-0.0403065
-0.0648615,-0.0425259
-0.0693181,-0.0436629
-0.0743394,-0.0430578
-0.079039,-0.0403929
-0.0824217,-0.0357468
-0.0835665,-0.0296195
-0.0817935,-0.0228917
-0.0768218,-0.0167267
-0.0689037,-0.012397
-0.058884,-0.0110274
-0.0481139,-0.0132924
-0.0381843,-0.0191697
-0.0305291,-0.027883
-0.0260563,-0.0380892
-0.0249604,-0.0482402
-0.0267714,-0.056954
-0.0305687,-0.0632632
-0.0352374,-0.0667026
-0.0396872,-0.0672817
-0.0430047,-0.0653963
-0.044557,-0.0617209
-0.0440557,-0.0570844
-0.0415807,-0.0523295
-0.0375448,-0.0481637
-0.0325924,-0.0450372
-0.0274469,-0.0430835
-0.0227571,-0.0421454
-0.0189869,-0.0418672
-0.0163755,-0.0418123
-0.0149549,-0.041566
-0.014602,-0.0408018
-0.0150977,-0.0393124
-0.0161807,-0.0370161
-0.0175905,-0.0339476
-0.0191012,-0.0302427
-0.0205518,-0.0261158
-0.021868,-0.0218286
-0.0230757,-0.0176501
-0.0242952,-0.0138085
-0.0257131,-0.010447
-0.0275311,-0.00759458
-0.0299043,-0.00516806
-0.0328893,-0.00300621
-0.0364198,-0.000925611
-0.040316,0.00122222
-0.0443213,0.00351126
-0.0481484,0.0059261
-0.0515215,0.00836844
-0.0542077,0.0106753
-0.0560376,0.0126408
-0.056918,0.014037
-0.0568417,0.0146349
-0.0558942,0.0142271
-0.0542534,0.012656
-0.0521767,0.00984456
-0.0499718,0.00582611
-0.0479493,0.000757044
-0.0463694,-0.00509373
-0.0453988,-0.0113822
-0.0450921,-0.0177413
-0.0454004,-0.0238312
-0.0461988,-0.0293709
-0.047317,-0.0341426
-0.0485649,-0.0380043
-0.0497435,-0.0408973
-0.0506542,-0.0428165
-0.0511106,-0.0438265
-0.0509566,-0.0440654
-0.0500945,-0.0437407
-0.0485131,-0.0431087
-0.0463073,-0.0424377
-0.0436771,-0.0419608
-0.0409033,-0.0418316
-0.0383047,-0.0420944
-0.0361873,-0.0426753
-0.0347929,-0.043394
-0.034257,-0.0439941
-0.0345806,-0.0441882
-0.0356206,-0.0437144
-0.0371066,-0.0423951
-0.0386855,-0.0401878
-0.0399907,-0.0372112
-0.0407184,-0.0337337
-0.040692,-0.0301262
-0.0398924,-0.0267879
-0.0384502,-0.0240722
-0.0366043,-0.0222289
-0.0346449,-0.0213757
-0.0328558,-0.0214988
-0.0314637,-0.0224747
-0.0306237,-0.0241026
-0.0303874,-0.0261497
-0.0307133,-0.028392
-0.0314872,-0.0306494
-0.032557,-0.0328099
-0.0337734,-0.0348312
-0.0350252,-0.0367232
-0.0362569,-0.0385148
-0.0374637,-0.0402177
-0.0386666,-0.0418034
-0.0398784,-0.0431993
-0.0410747,-0.0443062
-0.0421784,-0.0450299
-0.0430646,-0.0453161
-0.0435839,-0.0451806
-0.0435994,-0.044722
-0.0430293,-0.044114
-0.0418817,-0.0435746
-0.0402714,-0.0433187
-0.0384106,-0.0435036
-0.0365712,-0.0441848
-0.0350294,-0.0452942
-0.0340047,-0.0466485
-0.03361,-0.0479855
-0.0338235,-0.0490201
-0.0344903,-0.0495081
-0.0353521,-0.0493028
-0.0361007,-0.0483933
-0.0364452,-0.0469165
-0.03618,-0.0451366
-0.0352391,-0.0433926
-0.0337209,-0.0420237
-0.0318728,-0.0412869
-0.030035,-0.0412914
-0.0285569,-0.0419503
-0.02771,-0.0430469
-0.0276183,-0.0442587
-0.0282333,-0.045239
-0.0293502,-0.0457059
-0.0306596,-0.0455043
-0.0318169,-0.0446359
-0.0325165,-0.0432565
-0.0325565,-0.0416425
-0.0318843,-0.0401332
-0.0306123,-0.0390547
-0.0289978,-0.0386415
-0.0273834,-0.0389736
-0.0261083,-0.0399494
-0.0254153,-0.0413109
-0.0253848,-0.0427162
-0.0259166,-0.0438355
-0.0267675,-0.0444392
-0.0276251,-0.0444515
-0.028192,-0.0439563
-0.0282582,-0.0431654
-0.0277479,-0.0423601
-0.0267328,-0.0418201
-0.0254151,-0.0417558
-0.0240807,-0.0422535
-0.0230286,-0.0432467
-0.0224929,-0.0445266
-0.022576,-0.0457918
-0.0232167,-0.0467284
-0.0242064,-0.0470974
-0.0252479,-0.0467989
-0.0260387,-0.0458953
-0.0263521,-0.0445895
-0.0260918,-0.0431654
-0.0253126,-0.0419156
-0.0242024,-0.0410664
-0.0230389,-0.0407148
-0.0221132,-0.0408108
-0.0216453,-0.0411819
-0.0217328,-0.041548
-0.0223116,-0.0416135
-0.0231664,-0.0411524
-0.0239872,-0.0400782
-0.0244513,-0.0384721
-0.0243093,-0.0365666
-0.0234468,-0.0346896
-0.0219129,-0.033189
-0.0199087,-0.0323556
-0.0177467,-0.0323613
-0.0157855,-0.0332203
-0.0143563,-0.0347839
-0.0136909,-0.0367673
-0.013869,-0.0388096
-0.0147997,-0.0405524
-0.0162436,-0.0417202
-0.0178719,-0.0421787
-0.0193446,-0.0419549
-0.0203859,-0.0412178
-0.0208375,-0.0402278
-0.0206794,-0.0392695
-0.0200189,-0.0385895
-0.0190546,-0.0383463
-0.0180234,-0.0385838
-0.0171432,-0.0392313
-0.0165628,-0.0401313
-0.016332,-0.0410862
-0.0163996,-0.0419142
-0.0166414,-0.0424954
-0.0169046,-0.0427949
-0.0170545,-0.0428589
-0.0170095,-0.0427897
-0.0167656,-0.042709
-0.0163863,-0.0427222
-0.0159543,-0.0428938
-0.0155918,-0.0432231
-0.0154072,-0.0436434
-0.015462,-0.0440336
-0.0157445,-0.0442497
-0.0161643,-0.0441659
-0.0165704,-0.0437168
-0.0167925,-0.0429216
-0.0166865,-0.0418813
-0.0161705,-0.0407525
-0.015238,-0.0397093
-0.0139532,-0.0389104
-0.0124335,-0.0384757
-0.01083,-0.0384724
-0.00930816,-0.038911
-0.00802911,-0.0397424
-0.00713029,-0.0408611
-0.00670451,-0.0421138
-0.00678101,-0.0433173
-0.00731426,-0.044287
-0.00818763,-0.04487
-0.00923334,-0.0449741
-0.010265,-0.0445825
-0.0111115,-0.0437516
-0.0116435,-0.0425933
-0.0117867,-0.0412501
-0.0115234,-0.0398711
